series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s,first_f1_year,f1_entry
F2,2019,M  Stenshorne,STE,Rodin Motorsport,3,0.0,0.0,17.333333333333332,15,22,0,0.0,0,0.0,0.0,0.0,0,0.0,69.0,176.89766666666665,4.041451884327381,0.0,1.0,0.3333333333333333,106.331,2014.0,False
F2,2019,N  Tsolov,TSO,Campos Racing,2,6.0,3.0,9.5,7,12,0,0.0,0,0.0,1.0,0.5,1,0.5,65.0,177.843,3.5355339059327378,4.242640687119285,0.0,0.0,100.032,,False
F2,2019,L  van Hoepen,VAN,TRIDENT,3,0.0,0.0,19.0,17,22,0,0.0,0,0.0,0.0,0.0,0,0.0,61.0,177.25,2.6457513110645907,0.0,1.0,0.3333333333333333,108.723,2016.0,False
F2,2019,R  Verschoor,VER,MP Motorsport,14,119.0,8.5,7.642857142857143,1,19,2,0.1428571428571428,3,0.2142857142857142,11.0,0.7857142857142857,11,0.7857142857142857,404.0,178.00561538461537,5.429366627703638,8.35509977844025,1.0,0.0714285714285714,102.62230769230769,2012.0,False
F2,2019,R  Villagómez,VIL,Van Amersfoort Racing,14,29.0,2.0714285714285716,12.428571428571429,4,22,0,0.0,0,0.0,5.0,0.3571428571428571,5,0.3571428571428571,386.0,168.5325,5.345224838248487,3.812212878757826,2.0,0.1428571428571428,101.83064285714283,1996.0,False
F2,2019,V  Martins,VMA,ART Grand Prix,14,60.0,4.285714285714286,12.642857142857142,1,22,1,0.0714285714285714,2,0.1428571428571428,6.0,0.4285714285714285,6,0.4285714285714285,301.0,176.68976923076923,7.023117244085835,7.487718882672751,6.0,0.4285714285714285,104.14318181818182,,False
F2,2019,J  Wharton,WHA,TRIDENT,1,0.0,0.0,19.0,19,19,0,0.0,0,0.0,0.0,0.0,0,0.0,32.0,184.8,,,0.0,0.0,100.835,,False
F2,2020,G  Alesi,ALE,BWT HWA RACELAB,12,9.0,0.75,16.416666666666668,6,22,0,0.0,0,0.0,2.0,0.1666666666666666,2,0.1666666666666666,275.0,183.37058333333337,4.9810245994781095,2.3011854652449344,3.0,0.25,97.49227272727272,,False
F2,2020,M  Armstrong,ARM,ART Grand Prix,12,32.0,2.6666666666666665,12.0,3,22,0,0.0,1,0.0833333333333333,5.0,0.4166666666666667,5,0.4166666666666667,274.0,184.97736363636363,5.5432186252458715,5.15810630038395,2.0,0.1666666666666666,95.5370909090909,,False
F2,2020,R  Boschung,BOS,Campos Racing,1,0.0,0.0,22.0,22,22,0,0.0,0,0.0,0.0,0.0,0,0.0,9.0,183.261,,,1.0,1.0,65.507,,False
F2,2020,J  Daruvala,DAR,Carlin,12,64.0,5.333333333333333,10.416666666666666,1,21,1,0.0833333333333333,1,0.0833333333333333,8.0,0.6666666666666666,8,0.6666666666666666,308.0,183.15916666666664,6.374071530724132,7.438637868140465,1.0,0.0833333333333333,95.44716666666666,,False
