series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s
F2,2025,A  Cordeel,ACO,Rodin Motorsport,12,4.0,0.3333333333333333,14.833333333333334,8,22,0,0.0,0,0.0,1.0,0.0833333333333333,1,0.0833333333333333,293.0,165.68975,3.761849963982502,1.1547005383792517,2.0,0.1666666666666666,102.03833333333334
F2,2025,D  Beganovic,BEG,Hitech TGR,14,81.0,5.785714285714286,8.357142857142858,3,15,0,0.0,2,0.1428571428571428,10.0,0.7142857142857143,10,0.7142857142857143,417.0,168.40014285714284,4.27168031894391,5.726840603395845,1.0,0.0714285714285714,101.17135714285716
F2,2025,J  Bennett,BEN,Van Amersfoort Racing,14,1.0,0.0714285714285714,16.0,10,20,0,0.0,0,0.0,1.0,0.0714285714285714,1,0.0714285714285714,398.0,166.48035714285714,3.551814270958522,0.2672612419124244,1.0,0.0714285714285714,101.65092857142858
F2,2025,L  Browning,BRO,Hitech TGR,14,144.0,10.285714285714286,7.0,1,20,1,0.0714285714285714,5,0.3571428571428571,11.0,0.7857142857142857,11,0.7857142857142857,419.0,168.22807142857144,6.312380996593428,7.858641215772721,0.0,0.0,101.28521428571428
F2,2025,J  Crawford,CRA,DAMS Lucas Oil,14,141.0,10.071428571428571,7.785714285714286,1,21,3,0.2142857142857142,5,0.3571428571428571,9.0,0.6428571428571429,9,0.6428571428571429,399.0,169.37707142857144,6.784354982418928,10.216610048304716,1.0,0.0714285714285714,101.71864285714284
F2,2025,A  Dunne,DUN,Rodin Motorsport,14,120.0,8.571428571428571,9.571428571428571,1,22,2,0.1428571428571428,5,0.3571428571428571,10.0,0.7142857142857143,10,0.7142857142857143,344.0,179.6846923076923,8.121332646557702,9.685153473342476,5.0,0.3571428571428571,102.834
F2,2025,J  Dürksen,DUR,AIX Racing,14,87.0,6.214285714285714,10.285714285714286,1,20,2,0.1428571428571428,4,0.2857142857142857,5.0,0.3571428571428571,5,0.3571428571428571,405.0,166.14521428571427,6.280967238455352,10.221986645902597,2.0,0.1428571428571428,103.98964285714284
F2,2025,M  Esterson,EST,TRIDENT,11,0.0,0.0,17.363636363636363,13,21,0,0.0,0,0.0,0.0,0.0,0,0.0,292.0,178.2223,2.579640566928938,0.0,2.0,0.1818181818181818,102.3708
F2,2025,L  Fornaroli,FOR,Invicta Racing,14,167.0,11.928571428571429,5.428571428571429,1,21,1,0.0714285714285714,6,0.4285714285714285,12.0,0.8571428571428571,12,0.8571428571428571,416.0,169.22085714285714,5.139803733371773,6.944442002441573,1.0,0.0714285714285714,101.378
F2,2025,O  Goethe,GOE,MP Motorsport,14,21.0,1.5,12.428571428571429,5,21,0,0.0,0,0.0,4.0,0.2857142857142857,4,0.2857142857142857,400.0,168.12514285714286,4.397801648626202,3.057147992190409,1.0,0.0714285714285714,101.47314285714286
